experiment_id,label,branches,seed,optimizer,lr,momentum,weight_decay,schedule,warmup_epochs,step_size,gamma,min_lr,normalization,batch_size,dropout,augmentation,early_stopping,patience,epochs_budget,train_samples,val_samples,test_samples,best_val_accuracy,best_epoch,test_loss,test_accuracy,test_checkpoint_epoch,checkpoint_rule,final_train_accuracy,final_val_accuracy,epochs_completed,training_seconds,test_seconds,total_seconds,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,split_seed,debug,notebook_version,finished_at
sched_cosine_warm,Cosine + warm-up,schedule,2026,sgd_momentum,0.1,0.9,0.0005,cosine,2,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.865,18,0.6322058372497559,0.8607,18,max_val_accuracy,0.9999777777777777,0.864,20,104.41142988204956,0.806713342666626,105.21814322471619,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:26:00
reg_none,Không dùng regularizer khảo sát,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.8118,18,1.081661323928833,0.8037,18,max_val_accuracy,0.9940666666666667,0.8116,20,103.3645396232605,0.8111493587493896,104.17568898200989,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:27:45
reg_none,Không dùng regularizer khảo sát,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,45000,5000,10000,0.798,18,1.171665986251831,0.7942,18,max_val_accuracy,0.9972888888888889,0.7976,20,102.90833806991577,0.7967128753662109,103.70505094528198,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:29:29
reg_dropout_01,Dropout 0.1,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.1,False,False,4,20,45000,5000,10000,0.8004,20,1.088132485485077,0.7984,20,max_val_accuracy,0.9929777777777777,0.8004,20,103.62624907493591,0.7978527545928955,104.42410182952881,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:31:14
reg_dropout_01,Dropout 0.1,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.1,False,False,4,20,45000,5000,10000,0.7976,15,1.0138346252441406,0.7929,15,max_val_accuracy,0.9956444444444444,0.7928,20,103.34229397773743,0.8016889095306396,104.14398288726807,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:32:58
reg_dropout_03,Dropout 0.3,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.3,False,False,4,20,45000,5000,10000,0.8164,18,0.9975262304306031,0.8125,18,max_val_accuracy,0.9907555555555555,0.8164,20,103.39420747756958,0.8182687759399414,104.21247625350952,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:34:43
reg_dropout_03,Dropout 0.3,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.3,False,False,4,20,45000,5000,10000,0.8048,18,1.1239935752868653,0.7928,18,max_val_accuracy,0.9892,0.8022,20,103.6384003162384,0.8040659427642822,104.44246625900269,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:36:28
reg_dropout_05,Dropout 0.5,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.5,False,False,4,20,45000,5000,10000,0.8192,20,0.9929181698799133,0.8182,20,max_val_accuracy,0.9914222222222222,0.8192,20,103.08944320678711,0.8061144351959229,103.89555764198303,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:38:13
reg_dropout_05,Dropout 0.5,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.5,False,False,4,20,45000,5000,10000,0.8016,19,1.194473336982727,0.7882,19,max_val_accuracy,0.9898666666666667,0.7986,20,103.31334257125854,0.8255364894866943,104.13887906074524,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:39:57
reg_augmentation,Data augmentation,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,True,False,4,20,45000,5000,10000,0.8624,19,0.4337271044254303,0.8629,19,max_val_accuracy,0.9015777777777778,0.8456,20,185.70591139793396,0.8054027557373047,186.51131415367126,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:43:04
reg_augmentation,Data augmentation,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,True,False,4,20,45000,5000,10000,0.891,18,0.4005338842391968,0.88,18,max_val_accuracy,0.9341111111111111,0.891,20,185.29231643676758,0.8156287670135498,186.10794520378113,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:46:11
reg_early_stop,Early stopping,regularization,42,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,False,True,4,20,45000,5000,10000,0.7792,10,0.8520636103630066,0.7783,10,max_val_accuracy,0.9592222222222222,0.778,11,56.76413607597351,0.8092842102050781,57.57342028617859,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:47:09
reg_early_stop,Early stopping,regularization,2026,sgd_momentum,0.1,0.9,0.0,constant,0,7,0.1,1e-05,batch,128,0.0,False,True,4,20,45000,5000,10000,0.7716,11,0.9796240293502808,0.7637,11,max_val_accuracy,0.9635111111111111,0.7716,11,57.08311939239502,0.7998535633087158,57.882972955703735,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:48:07
reg_combined,WD + Dropout 0.3 + augmentation + early stopping,regularization,42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.3,True,True,4,20,45000,5000,10000,0.8292,16,0.5106477854728698,0.8305,16,max_val_accuracy,0.8655777777777778,0.8132,20,185.37777280807495,0.8145809173583984,186.19235372543335,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:51:14
reg_combined,WD + Dropout 0.3 + augmentation + early stopping,regularization,2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.3,True,True,4,20,45000,5000,10000,0.8502,20,0.4562549713611603,0.8512,20,max_val_accuracy,0.8654,0.8502,20,185.3171033859253,0.7985751628875732,186.11567854881287,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,4653,False,v2,2026-08-23T03:54:21
