global_step,loss,learning_rate,epoch,experiment_id,label,branches,seed,notebook_version,debug
2140,0.6524680256843567,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2160,0.5715914368629456,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2180,0.7292113304138184,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2200,0.6361840963363647,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2220,0.7715221047401428,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2240,0.7213191390037537,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2260,0.6806919574737549,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2280,0.8162848949432373,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2300,0.6491385698318481,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2320,0.6452908515930176,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2340,0.602063000202179,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2360,0.42747464776039124,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2380,0.5716629028320312,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2400,0.6919897198677063,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2420,0.6446594595909119,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2440,0.6865214109420776,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2460,0.7698318958282471,0.1,7,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2480,0.5006052255630493,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2500,0.5294530391693115,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2520,0.576813817024231,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2540,0.5830487608909607,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2560,0.4344640374183655,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2580,0.5769568085670471,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2600,0.4016326665878296,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2620,0.46804046630859375,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2640,0.6070936918258667,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2660,0.6147350072860718,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2680,0.4526892900466919,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2700,0.638961672782898,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2720,0.38244014978408813,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2740,0.5551662445068359,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2760,0.575145959854126,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2780,0.5279964804649353,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2800,0.3721352815628052,0.1,8,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
2820,0.5230329036712646,0.1,9,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
